make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h
Honda,Honda CR-Z,hybrid,2010,2010,,,"3-doors, coupé",,,4080 mm,1740 mm,1395 mm,,,,1119 kg,,,,,,,,,,,,,,,,,,,,hybrid,4,,,,,"73,0 x 89,4 mm",,91,,,,,front,"73,0 x 89,4 mm",,,6 speed manual transmission,n.b.,,117 g/km,,"9,9 s",200 km/h,"6,1 l/100km",117 g/km,,"5,0 l/100km",coil springs,,,coil springs,,,,3-doors,,,,,
Honda,Honda CR-Z,hybrid,2010,2010,,,"3-doors, coupé",,,4080 mm,1740 mm,1395 mm,,,,1119 kg,,,,,,,,,,,,,,,,,,,,hybrid,4,,,,,"73,0 x 89,4 mm",,91,,,,,front,"73,0 x 89,4 mm",,,6 speed manual transmission,n.b.,,117 g/km,,"9,9 s",200 km/h,"6,1 l/100km",117 g/km,,"5,0 l/100km",coil springs,,,coil springs,,,,3-doors,,,,,
Hummer,Hummer H2,fuel engine,2004,2004,,,"5-doors, suv/crossover",,,4821 mm,2063 mm,1976 mm,,,,2903 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"101,6 x 91,9 mm",,242,,,,,front+rear,"101,6 x 91,9 mm",,,4 speed automatic,n.b.,,512 g/km,,"9,8 s",150 km/h,"26,8 l/100km",512 g/km,,"21,4 l/100km",leaf springs,,,coil springs,,,,5-doors,,,,,
Hummer,Hummer H2,fuel engine,2004,2004,,,"5-doors, suv/crossover",,,4821 mm,2063 mm,1976 mm,,,,2903 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"101,6 x 91,9 mm",,242,,,,,front+rear,"101,6 x 91,9 mm",,,4 speed automatic,n.b.,,512 g/km,,"9,8 s",150 km/h,"26,8 l/100km",512 g/km,,"21,4 l/100km",leaf springs,,,coil springs,,,,5-doors,,,,,
Hummer,Hummer H2,fuel engine,2004,2004,,,"5-doors, suv/crossover",,,4821 mm,2063 mm,1976 mm,,,,2903 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"101,6 x 91,9 mm",,242,,,,,front+rear,"101,6 x 91,9 mm",,,4 speed automatic,n.b.,,512 g/km,,"9,8 s",150 km/h,"26,8 l/100km",512 g/km,,"21,4 l/100km",leaf springs,,,coil springs,,,,5-doors,,,,,
Hyundai,Hyundai Nexo,fuel engine,2018,2018,,,"5-doors, suv/crossover",,,4760 mm,1860 mm,1630 mm,,,,1789 kg,,,,,,,,,,,,,,,,,,,,fuel engine,n.b.,,,,,n.b.,,120,,,,,front,n.b.,,,traploze automatic,n.b.,,0 g/km,,- s,177 km/h,- l/100km,0 g/km,,"1,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Hyundai,Hyundai Nexo,fuel engine,2018,2018,,,"5-doors, suv/crossover",,,4760 mm,1860 mm,1640 mm,,,,1789 kg,,,,,,,,,,,,,,,,,,,,fuel engine,n.b.,,,,,n.b.,,120,,,,,front,n.b.,,,traploze automatic,n.b.,,0 g/km,,- s,179 km/h,- l/100km,0 g/km,,"1,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Infiniti,Infiniti Q70,fuel engine,2014,2014,,,"4-doors, sedan",,,4945 mm,1845 mm,1500 mm,,,,1715 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,5 x 86,0 mm",,235,,,,,rear,"95,5 x 86,0 mm",,,7 speed automatic,n.b.,,235 g/km,,"6,2 s",250 km/h,"14,9 l/100km",235 g/km,,"10,2 l/100km",coil springs,,,coil springs,,,,4-doors,,,,,
Infiniti,Infiniti Q70,hybrid,2014,2014,,,"4-doors, sedan",,,4945 mm,1845 mm,1500 mm,,,,1830 kg,,,,,,,,,,,,,,,,,,,,hybrid,4,,,,,"95,5 x 81,4 mm",,268,,,,,rear,"95,5 x 81,4 mm",,,7 speed automatic,n.b.,,162 g/km,,"5,5 s",250 km/h,"9,2 l/100km",162 g/km,,"7,0 l/100km",coil springs,,,coil springs,,,,4-doors,,,,,
Infiniti,Infiniti Q70,hybrid,2014,2014,,,"4-doors, sedan",,,4945 mm,1845 mm,1500 mm,,,,1830 kg,,,,,,,,,,,,,,,,,,,,hybrid,4,,,,,"95,5 x 81,4 mm",,268,,,,,rear,"95,5 x 81,4 mm",,,7 speed automatic,n.b.,,162 g/km,,"5,5 s",250 km/h,"9,2 l/100km",162 g/km,,"7,0 l/100km",coil springs,,,coil springs,,,,4-doors,,,,,
