make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h
Infiniti,Infiniti Q70,fuel engine,2014,2014,,,"4-doors, sedan",,,4945 mm,1845 mm,1500 mm,,,,1845 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,0 x 90,0 mm",,175,,,,,rear,"84,0 x 90,0 mm",,,7 speed automatic,n.b.,,199 g/km,,"6,9 s",250 km/h,"10,3 l/100km",199 g/km,,"7,5 l/100km",coil springs,,,coil springs,,,,4-doors,,,,,
Infiniti,Infiniti Q70,fuel engine,2014,2014,,,"4-doors, sedan",,,4945 mm,1845 mm,1500 mm,,,,1845 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,0 x 90,0 mm",,175,,,,,rear,"84,0 x 90,0 mm",,,7 speed automatic,n.b.,,199 g/km,,"6,9 s",250 km/h,"10,3 l/100km",199 g/km,,"7,5 l/100km",coil springs,,,coil springs,,,,4-doors,,,,,
Infiniti,Infiniti Q70,fuel engine,2014,2014,,,"4-doors, sedan",,,4945 mm,1845 mm,1500 mm,,,,1845 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,0 x 90,0 mm",,175,,,,,rear,"84,0 x 90,0 mm",,,7 speed automatic,n.b.,,199 g/km,,"6,9 s",250 km/h,"10,3 l/100km",199 g/km,,"7,5 l/100km",coil springs,,,coil springs,,,,4-doors,,,,,
Infiniti,Infiniti Q70,fuel engine,2014,2014,,,"4-doors, sedan",,,4945 mm,1845 mm,1500 mm,,,,1845 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,0 x 90,0 mm",,175,,,,,rear,"84,0 x 90,0 mm",,,7 speed automatic,n.b.,,199 g/km,,"6,9 s",250 km/h,"10,3 l/100km",199 g/km,,"7,5 l/100km",coil springs,,,coil springs,,,,4-doors,,,,,
Innocenti,Innocenti 90/120,fuel engine,1979,1979,,,"3-doors, hatchback",,,3120 mm,1520 mm,1360 mm,,,,714 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"64,6 x 76,2 mm",,36,,,,,front,"64,6 x 76,2 mm",,,5 speed manual transmission,n.b.,,- g/km,,"17,6 s",138 km/h,- l/100km,- g/km,,"7,8 l/100km",rubber veerp.,,,rubber veerp.,,,,3-doors,,,,,
Innocenti,Innocenti 90/120,fuel engine,1979,1979,,,"3-doors, hatchback",,,3120 mm,1520 mm,1360 mm,,,,720 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"70,6 x 81,3 mm",,48,,,,,front,"70,6 x 81,3 mm",,,5 speed manual transmission,n.b.,,- g/km,,"12,6 s",150 km/h,- l/100km,- g/km,,"8,7 l/100km",rubber veerp.,,,rubber veerp.,,,,3-doors,,,,,
Innocenti,Innocenti 90/120,fuel engine,1979,1979,,,"3-doors, hatchback",,,3130 mm,1500 mm,1380 mm,,,,725 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"70,6 x 81,3 mm",,52,,,,,front,"70,6 x 81,3 mm",,,5 speed manual transmission,n.b.,,- g/km,,"11,9 s",160 km/h,- l/100km,- g/km,,"8,7 l/100km",rubber veerp.,,,rubber veerp.,,,,3-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2260 mm,,,,1890 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,78,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2635 mm,,,,1925 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,78,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2260 mm,,,,1935 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,78,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2635 mm,,,,1970 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,78,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5997 mm,1996 mm,2630 mm,,,,2045 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,78,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2260 mm,,,,1890 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,93,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2635 mm,,,,1925 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,93,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2260 mm,,,,1935 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,93,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2635 mm,,,,1970 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,93,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5997 mm,1996 mm,2630 mm,,,,2045 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,93,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2260 mm,,,,1890 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,107,,,,,front,"88,0 x 94,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2635 mm,,,,1925 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,107,,,,,front,"88,0 x 94,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2260 mm,,,,1935 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,107,,,,,front,"88,0 x 94,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2635 mm,,,,1970 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,107,,,,,front,"88,0 x 94,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5997 mm,1996 mm,2630 mm,,,,2045 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,107,,,,,front,"88,0 x 94,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2270 mm,,,,1900 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,78,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2645 mm,,,,1910 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,78,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2270 mm,,,,1940 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,78,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2645 mm,,,,1980 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,78,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5997 mm,1996 mm,2640 mm,,,,2055 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,78,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5997 mm,1996 mm,2825 mm,,,,2080 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,78,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,7012 mm,1996 mm,2670 mm,,,,2180 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,78,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,7012 mm,1996 mm,2860 mm,,,,2215 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,78,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2270 mm,,,,1900 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,93,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2645 mm,,,,1910 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,93,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2270 mm,,,,1940 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,93,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2645 mm,,,,1980 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,93,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5997 mm,1996 mm,2640 mm,,,,2055 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,93,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5997 mm,1996 mm,2825 mm,,,,2080 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,93,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,7012 mm,1996 mm,2670 mm,,,,2180 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,93,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,7012 mm,1996 mm,2860 mm,,,,2215 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,93,,,,,front,"88,0 x 94,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2270 mm,,,,1900 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,107,,,,,front,"88,0 x 94,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2645 mm,,,,1910 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,107,,,,,front,"88,0 x 94,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2270 mm,,,,1940 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,107,,,,,front,"88,0 x 94,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2645 mm,,,,1980 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,107,,,,,front,"88,0 x 94,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5997 mm,1996 mm,2640 mm,,,,2055 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,107,,,,,front,"88,0 x 94,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5997 mm,1996 mm,2825 mm,,,,2080 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,107,,,,,front,"88,0 x 94,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,7012 mm,1996 mm,2670 mm,,,,2180 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,107,,,,,front,"88,0 x 94,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,7012 mm,1996 mm,2860 mm,,,,2215 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"88,0 x 94,0 mm",,107,,,,,front,"88,0 x 94,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2270 mm,,,,1960 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,125,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2645 mm,,,,1975 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,125,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2270 mm,,,,1980 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,125,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2645 mm,,,,2015 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,125,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5997 mm,1996 mm,2640 mm,,,,2090 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,125,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5997 mm,1996 mm,2825 mm,,,,2120 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,125,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,7012 mm,1996 mm,2670 mm,,,,2215 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,125,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,7012 mm,1996 mm,2860 mm,,,,2255 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,125,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2270 mm,,,,1960 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,150,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5077 mm,1996 mm,2645 mm,,,,1975 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,150,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2270 mm,,,,1980 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,150,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5477 mm,1996 mm,2645 mm,,,,2015 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,150,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5997 mm,1996 mm,2640 mm,,,,2090 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,150,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5997 mm,1996 mm,2825 mm,,,,2120 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,150,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,7012 mm,1996 mm,2670 mm,,,,2215 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,150,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,7012 mm,1996 mm,2860 mm,,,,2255 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,150,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5997 mm,1996 mm,2640 mm,,,,2345 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,100,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
