make_model,make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
bentley continental gt,bentley,continental gt,1 generation,2003,2012,cabriolet,6.0 at,cabriolet,,4,4804,1927,1398,2745,1623,1607,2540,,,,,,,,2900,1550/1460,260,,,260,650,injector,,w-type,12,,gasoline,4,turbo,,,,,6100,,present,5998,552,6100,all wheel drive (awd),,6,9.9,automatic,17,340|770,euro iv,90,5.1,314,26.2,,95,11.7,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, multi wishbone",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,1 generation,2003,2012,coupe 2-doors,6.0 at twin turbo,coupe,,4,4804,1965,1390,2745,1623,1607,2350,,120,,,,,,2800,,370,,,370,650,multi-point fuel injection,,w-type,12,,gasoline,4,biturbo,,,,,6100,,,5998,560,6100,all wheel drive (awd),,6,9.9,automatic,16.6,360|780,euro iv,90,4.8,318,25.3,,95,11.6,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, multi wishbone",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,1 generation,2003,2012,speed cabriolet 2-doors,6.0 at,cabriolet,,4,4804,1927,1388,2745,1623,1607,2540,,,,,,,,2900,1550/1460,260,,,260,750,injector,,w-type,12,,gasoline,4,turbo,,,,,5600,,present,5998,610,6100,all wheel drive (awd),,6,9.9,automatic,16.6,360|780,euro iv,90,4.8,322,25.3,,95,11.6,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, multi wishbone",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,1 generation,2003,2012,speed coupe 2-doors,6.0i at twin turbo,coupe,,4,4804,1916,1380,2745,1623,1607,2350,,,,,,,,,,370,,,370,750,multi-point fuel injection,,w-type,12,,gasoline,4,biturbo,84,90,,,1750,,,5998,610,6000,all wheel drive (awd),,6,11.8,automatic,16.6,360|780,euro v,90,4.5,326,25.3,,98,11.6,pneumatic elastic element,ventilated disc,ventilated disc,pneumatic elastic element,,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,1 generation,2003,2012,supersports convertible cabriolet 2-doors,6.0 at,cabriolet,,4,4804,1916,1388,2745,1623,1657,2395,,,,435,,,,2830,1550/1350,260,,,260,800,multi-point fuel injection,,w-type,12,,gasoline,4,biturbo,84,90,,,4500,,present,5998,630,6000,all wheel drive (awd),,6,11.2,automatic,16.3,370|780,euro v,90,4.2,325,24.5,,"95, ethanol",11.6,"independent, multi wishbone",disk ceramic,disk ceramic,"independent, multi wishbone",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,1 generation,2003,2012,supersports coupe 2-doors,6.0 at,coupe,,4,4804,1945,1380,2745,1623,1607,2240,,,,510,,,,2750,1433/1370,370,,,370,800,injector,,w-type,12,,gasoline,4,turbo,84,90,,,5600,,present,5998,630,6000,all wheel drive (awd),,6,,automatic,16.3,370|780,euro iv,90,3.9,329,24.5,,95,11.6,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, multi wishbone",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,2 generation,2010,2015,cabriolet 2-doors,6.0 at,cabriolet,,4,4806,1943,1403,2746,,,2495,,,,,,,,2900,,260,,,260,700,injector,,w-type,12,,gasoline,4,turbo,84,90,,,1700,,present,5998,575,6000,all wheel drive (awd),,6,11.3,automatic,16.5,350|790,euro v,90,4.6,318,25.4,,98,11.4,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, multi wishbone",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,2 generation,2010,2015,coupe 2-doors,6.0 at,coupe,,4,4806,1944,1404,2746,,,2320,,,,,,,,2750,,358,1937,,358,700,injector,,w-type,12,,gasoline,4,turbo,,,,,1700,,present,5998,575,6000,all wheel drive (awd),,6,,automatic,16.5,350|790,euro v,90,4.6,318,25.4,,95,11.4,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, multi wishbone",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,2 generation,2010,2015,gt3 r coupe 2-doors,4.0 at awd,coupe,,"2, 4",4806,1944,1404,2746,1664,1655,2195,,,,555,,,,2750,,358,,,358,700,direct injection,,v-type,8,,gasoline,4,biturbo,84,89,,,1700,,present,3993,580,6000,all wheel drive (awd),,8,11.3,automatic,12.7,490|980,euro vi,90,3.8,273,18.5,,98,9.2,"independent, multi wishbone","disc composite, ventilated","disc composite, ventilated","independent, multi wishbone",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,2 generation,2010,2015,speed cabriolet 2-doors,6.0 awd at,cabriolet,,4,4806,1943,1393,2746,1667,1663,2495,,,,405,,,,2900,,260,,,260,800,direct injection,,w-type,12,,gasoline,4,biturbo,,,,,1700,,present,5998,625,6000,all wheel drive (awd),,8,11.3,automatic,14.9,400|870,,90,4.4,325,22.7,,98,10.4,"multi wishbone, stabilizer bar",disc,ventilated disc,"independent, double wishbone, stabilizer bar",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,2 generation,2010,2015,speed coupe 2-doors,6.0 awd at,coupe,,4,4806,1943,1394,2746,1667,1663,2320,,,,358,,,,2750,,,,,,800,multi-point fuel injection,,w-type,12,,gasoline,4,biturbo,84,90,,,2000,,,5998,625,6000,all wheel drive (awd),,8,,automatic,14.5,410|890,euro iv,90,4.2,330,22.2,,98,10.1,"independent, multi wishbone, stabilizer bar",ventilated disc,ventilated disc,"independent, double wishbone, stabilizer bar",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,2 generation,2010,2015,v8 cabriolet 2-doors,4.0 at,cabriolet,,4,4806,1943,1403,2746,,,2470,,,,430,,,,2900,,260,,,260,660,direct injection,,v-type,8,,gasoline,4,biturbo,,,,,1700,,present,3993,507,6000,all wheel drive (awd),,8,11.3,automatic,10.9,"570|1,130",euro v,90,5,301,15.8,,95,8,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, double wishbone",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,2 generation,2010,2015,v8 cabriolet 2-doors,s 4.0 at,cabriolet,,4,4806,1943,1403,2746,,,2470,,,,430,,,,2900,,260,,,260,680,direct injection,,v-type,8,,gasoline,4,biturbo,,,,,1700,,present,3993,528,6000,all wheel drive (awd),,8,11.3,automatic,10.9,"570|1,130",euro v,90,4.7,308,15.8,,95,8,"independent, multi wishbone, stabilizer bar",ventilated disc,ventilated disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,2 generation,2010,2015,v8 coupe 2-doors,4.0 at,coupe,,4,4806,1943,1404,2746,,,2295,,,,455,,,,2750,,358,,,358,660,direct injection,,v-type,8,,gasoline,4,biturbo,,,,,1700,,present,3993,507,6000,all wheel drive (awd),,8,11.3,automatic,10.6,"580|1,170",euro v,90,4.8,303,15.4,,95,7.7,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, double wishbone",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,2 generation,2010,2015,v8 coupe 2-doors,s 4.0 at,coupe,,4,4806,1943,1404,2746,,,2295,,,,455,,,,2750,,358,,,358,680,direct injection,,v-type,8,,gasoline,4,biturbo,,,,,1700,,present,3993,528,6000,all wheel drive (awd),,8,11.3,automatic,10.6,"580|1,170",euro v,90,4.5,309,15.4,,95,7.7,"independent, multi wishbone, stabilizer bar",ventilated disc,ventilated disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,2 generation [redesign],2015,2020,cabriolet 2-doors,6.0 w12 awd at,cabriolet,,4,4807,1947,1400,2746,,,2495,,,,,,,,2900,,260,,,260,720,direct injection,,w-type,12,,gasoline,4,turbo,,,,,1800,,,5998,590,6000,all wheel drive (awd),,8,,automatic,14.3,410|910,euro vi,90,4.7,315,21.7,,98,9.9,"independent, pneumatic elastic element",ventilated disc,ventilated disc,"independent, pneumatic elastic element",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,2 generation [redesign],2015,2020,coupe 2-doors,6.0 w12 awd at,coupe,,4,4807,1947,1401,2746,,,2320,,,,,,,,2750,,358,,,358,720,direct injection,,w-type,12,,gasoline,4,turbo,,,,,1800,,,5998,590,6000,all wheel drive (awd),,8,,automatic,14.2,410|920,euro vi,90,4.5,319,21.9,,98,9.8,"independent, pneumatic elastic element",ventilated disc,ventilated disc,"independent, pneumatic elastic element",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,2 generation [redesign],2015,2020,speed cabriolet 2-doors,6.0 w12 awd at,cabriolet,,4,4818,1947,1390,2746,1667,1663,2495,,,,,,,,2900,,260,,,260,820,direct injection,,w-type,12,,gasoline,4,turbo,84,90,,,2000,,,5998,635,5900,all wheel drive (awd),,8,,automatic,14.9,400|860,euro vi,90,4.3,328,22.3,,98,10.5,"independent, pneumatic elastic element",ventilated disc,ventilated disc,"independent, pneumatic elastic element",,,,,,,,,,54353,6195,2707,63255
bentley continental gt,bentley,continental gt,2 generation [redesign],2015,2020,speed cabriolet 2-doors,6.0 w12 awd at,cabriolet,,4,4818,1947,1390,2746,1667,1663,2495,,,,405,,,,2900,,260,,,260,840,direct injection,,w-type,12,,gasoline,4,turbo,84,90,,,2000,,,5998,642,5900,all wheel drive (awd),,8,,automatic,14.9,400|860,euro vi,90,4.3,328,22.3,,98,10.5,"independent, pneumatic elastic element",ventilated disc,ventilated disc,"independent, pneumatic elastic element",,,,,,,,,,54353,6195,2707,63255
